Seconds,Time,R-R
32301.266,8:55:49 AM,1.272
32302.453,8:55:50 AM,1.187
32303.785,8:55:52 AM,1.332
32305.088,8:55:53 AM,1.303
32306.438,8:55:54 AM,1.35
32307.741,8:55:56 AM,1.303
32308.941,8:55:57 AM,1.2
32310.072,8:55:58 AM,1.131
32311.207,8:55:59 AM,1.135
32312.319,8:56:00 AM,1.112
32313.418,8:56:01 AM,1.099
32314.578,8:56:03 AM,1.16
32315.755,8:56:04 AM,1.177
32316.922,8:56:05 AM,1.167
32318.079,8:56:06 AM,1.157
32319.247,8:56:07 AM,1.168
32320.382,8:56:08 AM,1.135
32321.52,8:56:10 AM,1.138
32322.64,8:56:11 AM,1.12
32323.71,8:56:12 AM,1.07
32324.724,8:56:13 AM,1.014
32325.661,8:56:14 AM,0.937
32326.561,8:56:15 AM,0.9
32327.473,8:56:15 AM,0.912
32328.401,8:56:16 AM,0.928
32329.414,8:56:17 AM,1.013
32330.439,8:56:18 AM,1.025
32331.416,8:56:19 AM,0.977
32332.435,8:56:20 AM,1.019
32333.442,8:56:21 AM,1.007
32334.414,8:56:22 AM,0.972
32335.43,8:56:23 AM,1.016
32336.519,8:56:25 AM,1.089
32337.513,8:56:26 AM,0.994
32338.48,8:56:26 AM,0.967
32339.456,8:56:27 AM,0.976
32340.378,8:56:28 AM,0.922
32341.355,8:56:29 AM,0.977
32342.428,8:56:30 AM,1.073
32343.442,8:56:31 AM,1.014
32344.599,8:56:33 AM,1.157
32345.818,8:56:34 AM,1.219
32346.952,8:56:35 AM,1.134
32348.097,8:56:36 AM,1.145
32349.292,8:56:37 AM,1.195
32350.392,8:56:38 AM,1.1
32351.588,8:56:40 AM,1.196
32352.771,8:56:41 AM,1.183
32353.886,8:56:42 AM,1.115
32354.969,8:56:43 AM,1.083
32356.053,8:56:44 AM,1.084
32357.143,8:56:45 AM,1.09
32358.23,8:56:46 AM,1.087
32359.296,8:56:47 AM,1.066
32360.344,8:56:48 AM,1.048
32361.341,8:56:49 AM,0.997
32362.4,8:56:50 AM,1.059
32363.397,8:56:51 AM,0.997
32364.378,8:56:52 AM,0.981
32365.381,8:56:53 AM,1.003
32366.354,8:56:54 AM,0.973
32367.322,8:56:55 AM,0.968
32368.279,8:56:56 AM,0.957
32369.213,8:56:57 AM,0.934
32370.108,8:56:58 AM,0.895
